DQN game 281, Run time: 0.86 seconds, Score: 1, Best: 1, Epsilon: 0.8693
DQN game 282, Run time: 0.55 seconds, Score: 2, Best: 1, Epsilon: 0.8689
DQN game 283, Run time: 0.16 seconds, Score: 0, Best: 2, Epsilon: 0.8685
DQN game 284, Run time: 0.71 seconds, Score: 0, Best: 2, Epsilon: 0.8680
DQN game 285, Run time: 0.27 seconds, Score: 0, Best: 2, Epsilon: 0.8676
DQN game 286, Run time: 1.06 seconds, Score: 1, Best: 2, Epsilon: 0.8672
DQN game 287, Run time: 0.27 seconds, Score: 0, Best: 2, Epsilon: 0.8667
DQN game 288, Run time: 0.58 seconds, Score: 1, Best: 2, Epsilon: 0.8663
DQN game 289, Run time: 0.45 seconds, Score: 1, Best: 2, Epsilon: 0.8659
DQN game 290, Run time: 0.50 seconds, Score: 0, Best: 2, Epsilon: 0.8654
DQN game 291, Run time: 0.32 seconds, Score: 0, Best: 2, Epsilon: 0.8650
DQN game 292, Run time: 0.25 seconds, Score: 0, Best: 2, Epsilon: 0.8646
DQN game 293, Run time: 0.10 seconds, Score: 0, Best: 2, Epsilon: 0.8641
DQN game 294, Run time: 0.36 seconds, Score: 1, Best: 2, Epsilon: 0.8637
DQN game 295, Run time: 0.40 seconds, Score: 0, Best: 2, Epsilon: 0.8633
DQN game 296, Run time: 0.12 seconds, Score: 0, Best: 2, Epsilon: 0.8628
DQN game 297, Run time: 0.27 seconds, Score: 1, Best: 2, Epsilon: 0.8624
DQN game 298, Run time: 0.25 seconds, Score: 0, Best: 2, Epsilon: 0.8620
DQN game 299, Run time: 0.45 seconds, Score: 0, Best: 2, Epsilon: 0.8615
DQN game 300, Run time: 0.19 seconds, Score: 0, Best: 2, Epsilon: 0.8611
DQN game 301, Run time: 0.36 seconds, Score: 0, Best: 2, Epsilon: 0.8607
DQN game 302, Run time: 0.34 seconds, Score: 0, Best: 2, Epsilon: 0.8602
DQN game 303, Run time: 0.28 seconds, Score: 0, Best: 2, Epsilon: 0.8598
DQN game 304, Run time: 0.74 seconds, Score: 2, Best: 2, Epsilon: 0.8594
DQN game 305, Run time: 0.33 seconds, Score: 0, Best: 2, Epsilon: 0.8590
DQN game 306, Run time: 0.21 seconds, Score: 0, Best: 2, Epsilon: 0.8585
DQN game 307, Run time: 0.23 seconds, Score: 0, Best: 2, Epsilon: 0.8581
DQN game 308, Run time: 0.13 seconds, Score: 0, Best: 2, Epsilon: 0.8577
DQN game 309, Run time: 0.26 seconds, Score: 0, Best: 2, Epsilon: 0.8572
DQN game 310, Run time: 0.18 seconds, Score: 1, Best: 2, Epsilon: 0.8568
DQN game 311, Run time: 0.73 seconds, Score: 0, Best: 2, Epsilon: 0.8564
DQN game 312, Run time: 0.20 seconds, Score: 1, Best: 2, Epsilon: 0.8560
DQN game 313, Run time: 0.16 seconds, Score: 1, Best: 2, Epsilon: 0.8555
DQN game 314, Run time: 0.62 seconds, Score: 1, Best: 2, Epsilon: 0.8551
DQN game 315, Run time: 0.67 seconds, Score: 1, Best: 2, Epsilon: 0.8547
DQN game 316, Run time: 0.36 seconds, Score: 0, Best: 2, Epsilon: 0.8542
DQN game 317, Run time: 0.16 seconds, Score: 0, Best: 2, Epsilon: 0.8538
DQN game 318, Run time: 0.14 seconds, Score: 1, Best: 2, Epsilon: 0.8534
